BORO,BLOCK,LOT,PARCEL_NAME,PARCEL_ADDRESS,JURIS,Jurisdiction Description,RPAD,RPAD_DESCRIPTION,PROP_FRONT,PROP_DEPTH,PROP_SQFT,IRREG,BLD_FRONT,BLD_DEPTH,BLD_SQFT,NUM_BLD,FLOORS,CD,COUNCIL_DISTRICT,COUNCILMEMBER_NAME,PR_ZONE,OV_ZONE,SD_ZONE,BBL,WATERFRONT,URBAN RENEWAL SITE,Agency,Owned/Leased,Primary Use Text,Final Commitment Text,Agreement (Lease-Out)
3,7021,16,,WEST 16 STREET,HPD,DEPT OF HOUSING PRESERVATION & DEVELOPMENT,V1,VACANT LAND,40,118,4750,,,,,,,13,47,"DOMENIC M. RECCHIA, JR",R6,,,3070210016,,Y,HPD,O,NO USE-VACANT LAND,FINAL COMMITMNT-DISP,
3,3461,13,THOMAS BOYLAND PARK,GRANITE ST,PARKS,DEPT OF PARKS & RECREATION,V1,VACANT LAND,25,100,2500,,,,,,,4,37,ERIK MARTIN DILAN,PARK,,,3034610013,,Y,PARKS,O,PARK,,
3,7033,84,,OCEAN VIEW AVE,DCAS,DEPT OF CITYWIDE ADMINISTRATIVE SERVICES,V1,VACANT LAND,60,104,6277,,,,,,,13,47,"DOMENIC M. RECCHIA, JR",R3-1,,,3070330084,Y,,DCAS,O,NO USE-VACANT LAND,,
5,1073,102,,00086-88 RICHMOND AVENUE,DSBS,DEPT OF SMALL BUSINESS SERVICES,V1,VACANT LAND,40,62,1267,I,,,,,,1,49,DEBORAH ROSE,C4-2,,,5010730102,,,DSBS,O,NO USE-NON RES STRC,,
5,1073,102,,00086-88 RICHMOND AVENUE,DSBS,DEPT OF SMALL BUSINESS SERVICES,V1,VACANT LAND,40,62,1267,I,,,,,,1,49,DEBORAH ROSE,C4-2,,,5010730102,,,EDC,O,NO USE,FINAL COMMITMNT-DISP,
5,1107,100,SI MARINERS HARBOR,RICHMOND TERRACE,DCAS,DEPT OF CITYWIDE ADMINISTRATIVE SERVICES,V1,VACANT LAND,155,540,69700,I,,,,,,1,49,DEBORAH ROSE,M1-1,,,5011070100,Y,,DCAS,O,IN USE-TENANTED,,SHORT-TERM AGREEMENT
4,8811,101,,266 STREET,DCAS,DEPT OF CITYWIDE ADMINISTRATIVE SERVICES,V1,VACANT LAND,8,4,1409,I,,,,,,13,23,MARK WEPRIN,R2,,,4088110101,,,DCAS,O,NO USE-VACANT LAND,,
4,8847,378,,JAMAICA AVENUE,DCAS,DEPT OF CITYWIDE ADMINISTRATIVE SERVICES,V1,VACANT LAND,,107,18,I,,,,,,9,32,ERIC A ULRICH,R3-1,C1-2,,4088470378,,,DCAS,O,NO USE-VACANT LAND,,
4,8858,137,,85 AVENUE,DCAS,DEPT OF CITYWIDE ADMINISTRATIVE SERVICES,V1,VACANT LAND,1,73,49,,,,,,,9,30,ELIZABETH CROWLEY,R3-1,,,4088580137,,,DCAS,O,NO USE-VACANT LAND,,
4,8871,101,,86 ROAD,DCAS,DEPT OF CITYWIDE ADMINISTRATIVE SERVICES,V0,VACANT LAND,1,100,33,,,,,,,9,30,ELIZABETH CROWLEY,R3-1,,,4088710101,,,DCAS,O,NO USE-VACANT LAND,,
4,8892,4,,98 STREET,DCAS,DEPT OF CITYWIDE ADMINISTRATIVE SERVICES,V0,VACANT LAND,24,8,190,I,,,,,,9,30,ELIZABETH CROWLEY,R3-1,,,4088920004,,,DCAS,O,NO USE-VACANT LAND,,
4,8892,264,,JAMAICA AVENUE,DCAS,DEPT OF CITYWIDE ADMINISTRATIVE SERVICES,V1,VACANT LAND,15,421,6315,I,,,,,,9,30,ELIZABETH CROWLEY,R3-1,C1-2,,4088920264,,,DCAS,O,NO USE-VACANT LAND,,
4,8948,39,,ROCKAWAY BOULEVARD,DCAS,DEPT OF CITYWIDE ADMINISTRATIVE SERVICES,V1,VACANT LAND,3,3,5,I,,,,,,9,32,ERIC A ULRICH,R3-1,C2-2,,4089480039,,,DCAS,O,NO USE-VACANT LAND,,
4,8975,100,PS 306 (Q262),95-16 89 AVENUE,EDUC,DEPT OF EDUCATION,V0,VACANT LAND,129,173,37766,,151,157,45418,1,3,9,30,ELIZABETH CROWLEY,R3-1,,,4089750100,,,EDUC,O,PUBLIC SCHOOL,,
5,7771,38,LONG POND PARK,CLARENDON AVE,PARKS,DEPT OF PARKS & RECREATION,V0,VACANT LAND,40,100,4000,,,,,,,3,51,VINCENT IGNIZIO,PARK,,,5077710038,,,PARKS,O,PARK,,
5,7771,33,LONG POND PARK,EUGENE ST,PARKS,DEPT OF PARKS & RECREATION,V0,VACANT LAND,80,100,8000,,,,,,,3,51,VINCENT IGNIZIO,PARK,,,5077710033,,,PARKS,O,PARK,,
3,7045,1,,3622 MERMAID AVENUE,MIXED,CITY AND NON-CITY OWNERSHIP,V0,VACANT LAND,80,160,12800,,,,,,,13,47,"DOMENIC M. RECCHIA, JR",R6,,,3070450001,,Y,HPD,O,NO USE-VACANT LAND,FINAL COMMITMNT-DISP,
4,9018,62,,97 AVENUE,DCAS,DEPT OF CITYWIDE ADMINISTRATIVE SERVICES,V1,VACANT LAND,4,30,68,I,,,,,,9,32,ERIC A ULRICH,R5,,,4090180062,,,DCAS,O,NO USE-VACANT LAND,,
3,7048,6,,3216 MERMAID AVENUE,HPD,DEPT OF HOUSING PRESERVATION & DEVELOPMENT,V1,VACANT LAND,19,100,1933,,,,,,,13,47,"DOMENIC M. RECCHIA, JR",R6,C1-2,,3070480006,,Y,HPD,O,NO USE-VACANT LAND,FINAL COMMITMNT-DISP,
2,3110,49,GARDEN OF HAPPINESS,2158 PROSPECT AVENUE,PARKS,DEPT OF PARKS & RECREATION,V0,VACANT LAND,16,150,2465,,,,,,,6,15,JOEL RIVERA,R7-1,,,2031100049,,Y,PARKS,O,COMMUNITY GARDEN,,
4,9048,101,,76 STREET,DCAS,DEPT OF CITYWIDE ADMINISTRATIVE SERVICES,V1,VACANT LAND,,100,,I,,,,,,9,32,ERIC A ULRICH,R5,,,4090480101,,,DCAS,O,NO USE-VACANT LAND,,
4,9136,225,,SUTTER AVENUE,DOT,DEPT OF TRANSPORTATION,V1,VACANT LAND,12,20,129,I,,,,,,10,32,ERIC A ULRICH,R4,,,4091360225,,,DOT,O,ROAD/HIGHWAY,,
4,9137,300,,78 STREET,DCAS,DEPT OF CITYWIDE ADMINISTRATIVE SERVICES,V0,VACANT LAND,9,3,15,,,,,,,10,32,ERIC A ULRICH,R4,,,4091370300,,,DCAS,O,NO USE-VACANT LAND,,
2,4545,110,,OLINVILLE AVE,DCAS,DEPT OF CITYWIDE ADMINISTRATIVE SERVICES,V1,VACANT LAND,1,32,68,I,,,,,,12,12,LARRY B. SEABROOK,R5,,,2045450110,,,DCAS,O,NO USE-VACANT LAND,,
5,1206,60,MARINERS HARBOR,,DSBS,DEPT OF SMALL BUSINESS SERVICES,V0,VACANT LAND,30,994,29800,,,,,,,1,49,DEBORAH ROSE,M3-1,,,5012060060,Y,,DSBS,O,NO USE,FINAL COMMITMNT-DISP,
5,1206,60,MARINERS HARBOR,,DSBS,DEPT OF SMALL BUSINESS SERVICES,V0,VACANT LAND,30,994,29800,,,,,,,1,49,DEBORAH ROSE,M3-1,,,5012060060,Y,,DCAS,O,NO USE-VACANT LAND,,
5,1236,117,,LOCKMAN AVE,DCAS,DEPT OF CITYWIDE ADMINISTRATIVE SERVICES,V0,VACANT LAND,16,246,3900,,,,,,,1,49,DEBORAH ROSE,R3A,,,5012360117,,,DCAS,O,NO USE-VACANT LAND,,
4,9221,31,,113 STREET,DCAS,DEPT OF CITYWIDE ADMINISTRATIVE SERVICES,V0,VACANT LAND,,100,55,,,,,,,9,30,ELIZABETH CROWLEY,R2,,,4092210031,,,DCAS,O,NO USE-VACANT LAND,,
5,1261,79,,SOUTH AVENUE,DSBS,DEPT OF SMALL BUSINESS SERVICES,V0,VACANT LAND,50,142,7100,,,,,,,1,49,DEBORAH ROSE,R3-2,,,5012610079,,,EDC,O,NO USE,FINAL COMMITMNT-DISP,
5,1261,79,,SOUTH AVENUE,DSBS,DEPT OF SMALL BUSINESS SERVICES,V0,VACANT LAND,50,142,7100,,,,,,,1,49,DEBORAH ROSE,R3-2,,,5012610079,,,DSBS,O,NO USE-VACANT LAND,,
5,1261,82,,SOUTH AVENUE,DSBS,DEPT OF SMALL BUSINESS SERVICES,V0,VACANT LAND,50,142,7000,,,,,,,1,49,DEBORAH ROSE,R3-2,,,5012610082,,,DSBS,O,NO USE-VACANT LAND,,
5,1261,82,,SOUTH AVENUE,DSBS,DEPT OF SMALL BUSINESS SERVICES,V0,VACANT LAND,50,142,7000,,,,,,,1,49,DEBORAH ROSE,R3-2,,,5012610082,,,EDC,O,NO USE,FINAL COMMITMNT-DISP,
5,1261,90,,GRANDVIEW AVENUE,DSBS,DEPT OF SMALL BUSINESS SERVICES,V0,VACANT LAND,56,95,5300,I,,,,,,1,49,DEBORAH ROSE,R3-2,,,5012610090,,,DSBS,O,NO USE-VACANT LAND,,
5,1261,90,,GRANDVIEW AVENUE,DSBS,DEPT OF SMALL BUSINESS SERVICES,V0,VACANT LAND,56,95,5300,I,,,,,,1,49,DEBORAH ROSE,R3-2,,,5012610090,,,EDC,O,NO USE,FINAL COMMITMNT-DISP,
5,7771,31,LONG POND PARK,EUGENE ST,PARKS,DEPT OF PARKS & RECREATION,V0,VACANT LAND,40,100,4000,,,,,,,3,51,VINCENT IGNIZIO,PARK,,,5077710031,,,PARKS,O,PARK,,
5,7771,12,LONG POND PARK,BLISS PL,PARKS,DEPT OF PARKS & RECREATION,V0,VACANT LAND,380,100,36000,I,,,,,,3,51,VINCENT IGNIZIO,PARK,,,5077710012,,,PARKS,O,PARK,,
3,3461,19,GRANITE ST BLOCK ASSOC GARDEN,30 GRANITE STREET,PARKS,DEPT OF PARKS & RECREATION,V1,VACANT LAND,25,100,2500,,,,,,,4,37,ERIK MARTIN DILAN,R6,,,3034610019,,,PARKS,O,COMMUNITY GARDEN,,
4,9240,127,,85 AVENUE,DCAS,DEPT OF CITYWIDE ADMINISTRATIVE SERVICES,V1,VACANT LAND,1,100,100,,,,,,,9,29,KAREN KOSLOWITZ,R6B,,,4092400127,,,DCAS,O,NO USE-VACANT LAND,,
5,1318,135,HOWLAND HOOK MARINE DIST CTR,HOLLAND AVE,DSBS,DEPT OF SMALL BUSINESS SERVICES,V1,VACANT LAND,25,96,2400,,,,,,,1,49,DEBORAH ROSE,R3-2,,,5013180135,,,DSBS,O,IN USE-TENANTED,,LONG-TERM AGREEMENT
5,1318,135,HOWLAND HOOK MARINE DIST CTR,HOLLAND AVE,DSBS,DEPT OF SMALL BUSINESS SERVICES,V1,VACANT LAND,25,96,2400,,,,,,,1,49,DEBORAH ROSE,R3-2,,,5013180135,,,DEP,O,OPEN SPACE,,
5,1318,136,HOWLAND HOOK MARINE DIST CTR,HOLLAND AVE,DSBS,DEPT OF SMALL BUSINESS SERVICES,V1,VACANT LAND,50,95,4750,,,,,,,1,49,DEBORAH ROSE,R3-2,,,5013180136,,,DEP,O,OPEN SPACE,,
5,1318,136,HOWLAND HOOK MARINE DIST CTR,HOLLAND AVE,DSBS,DEPT OF SMALL BUSINESS SERVICES,V1,VACANT LAND,50,95,4750,,,,,,,1,49,DEBORAH ROSE,R3-2,,,5013180136,,,DSBS,O,IN USE-TENANTED,,LONG-TERM AGREEMENT
5,1318,144,,HOLLAND AVE,DSBS,DEPT OF SMALL BUSINESS SERVICES,V1,VACANT LAND,50,93,4650,,,,,,,1,49,DEBORAH ROSE,R3-2,,,5013180144,,,DEP,O,OPEN SPACE,,
5,1318,144,,HOLLAND AVE,DSBS,DEPT OF SMALL BUSINESS SERVICES,V1,VACANT LAND,50,93,4650,,,,,,,1,49,DEBORAH ROSE,R3-2,,,5013180144,,,DSBS,O,NO USE-VACANT LAND,,
5,1318,200,,HOLLAND AVE,DSBS,DEPT OF SMALL BUSINESS SERVICES,V1,VACANT LAND,50,92,4650,,,,,,,1,49,DEBORAH ROSE,R3-2,,,5013180200,,,DSBS,O,NO USE-VACANT LAND,,
5,1318,200,,HOLLAND AVE,DSBS,DEPT OF SMALL BUSINESS SERVICES,V1,VACANT LAND,50,92,4650,,,,,,,1,49,DEBORAH ROSE,R3-2,,,5013180200,,,DEP,O,NATURAL AREA/ETC,,
4,9246,251,EIGHT OAKS TRIANGLE,AUSTIN STREET,PARKS,DEPT OF PARKS & RECREATION,V0,VACANT LAND,93,49,1965,I,,,,,,9,29,KAREN KOSLOWITZ,PARK,,,4092460251,,,PARKS,O,PUBLIC PLACE/PLAZA,,
4,9258,55,JACOB RIIS TRIANGLE,116 STREET,PARKS,DEPT OF PARKS & RECREATION,V1,VACANT LAND,45,67,3032,,,,,,,9,30,ELIZABETH CROWLEY,PARK,,,4092580055,,,PARKS,O,PARK,,
3,3461,20,GRANITE ST BLOCK ASSOC GARDEN,32 GRANITE STREET,PARKS,DEPT OF PARKS & RECREATION,V0,VACANT LAND,25,100,2500,,,,,,,4,37,ERIK MARTIN DILAN,R6,,,3034610020,,,PARKS,O,COMMUNITY GARDEN,,
4,9289,111,,JAMAICA AVENUE,DCAS,DEPT OF CITYWIDE ADMINISTRATIVE SERVICES,V1,VACANT LAND,3,10,30,,,,,,,9,30,ELIZABETH CROWLEY,R3-1,C2-4,,4092890111,,,DCAS,O,NO USE-VACANT LAND,,
5,1565,1,STATEN ISLAND INDUSTRIAL PARK,383 SOUTH AVENUE,PARKS,DEPT OF PARKS & RECREATION,V1,VACANT LAND,3590,1619,2891185,I,,,,,,2,49,DEBORAH ROSE,PARK,,,5015650001,,Y,PARKS,O,OPEN SPACE,,
3,7058,10,SANTOS WHITE GARDEN,2106 MERMAID AVENUE,PARKS,DEPT OF PARKS & RECREATION,V0,VACANT LAND,20,77,1540,,,,,,,13,47,"DOMENIC M. RECCHIA, JR",R6,C1-2,,3070580010,,Y,PARKS,O,COMMUNITY GARDEN,,
5,1670,44,BED OF SOUTH AVENUE,BED OF SOUTH AVE,DOT,DEPT OF TRANSPORTATION,V0,VACANT LAND,25,100,2500,,21,40,2261,1,2,1,49,DEBORAH ROSE,R3-2,,,5016700044,,,DOT,O,ROAD/HIGHWAY,,
3,7058,11,SANTOS WHITE GARDEN,2104 MERMAID AVENUE,PARKS,DEPT OF PARKS & RECREATION,V0,VACANT LAND,20,77,1540,,,,,,,13,47,"DOMENIC M. RECCHIA, JR",R6,C1-2,,3070580011,,Y,PARKS,O,COMMUNITY GARDEN,,
4,9399,51,,113 STREET,DCAS,DEPT OF CITYWIDE ADMINISTRATIVE SERVICES,V1,VACANT LAND,1,,1,I,,,,,,9,28,RUBEN WILLS,R5,C2-2,,4093990051,,,DCAS,O,NO USE-VACANT LAND,,
4,9415,22,,114 STREET,DCAS,DEPT OF CITYWIDE ADMINISTRATIVE SERVICES,V0,VACANT LAND,3,40,80,I,,,,,,9,28,RUBEN WILLS,R5,,,4094150022,,,DCAS,O,NO USE-VACANT LAND,,
5,1700,8,GRANITEVILLE QUARRY STATE PARK,VAN NAME AVE,PARKS,DEPT OF PARKS & RECREATION,V1,VACANT LAND,24,100,1725,I,,,,,,1,49,DEBORAH ROSE,R3-2,,,5017000008,,,PARKS,O,PARK,,
5,1700,12,GRANITEVILLE QUARRY STATE PARK,VAN NAME AVE,PARKS,DEPT OF PARKS & RECREATION,V0,VACANT LAND,25,100,2500,,,,,,,1,49,DEBORAH ROSE,R3-2,,,5017000012,,,PARKS,O,PARK,,
5,1700,13,GRANITEVILLE QUARRY STATE PARK,VAN NAME AVE,PARKS,DEPT OF PARKS & RECREATION,V0,VACANT LAND,25,100,2500,,,,,,,1,49,DEBORAH ROSE,R3-2,,,5017000013,,,PARKS,O,PARK,,
3,3461,50,THOMAS BOYLAND PARK,FURMAN AVE,PARKS,DEPT OF PARKS & RECREATION,V1,VACANT LAND,20,100,2000,,,,,,,4,37,ERIK MARTIN DILAN,PARK,,,3034610050,,Y,PARKS,O,PARK,,
4,9444,3,,,DCAS,DEPT OF CITYWIDE ADMINISTRATIVE SERVICES,V1,VACANT LAND,22,10,220,I,,,,,,9,28,RUBEN WILLS,R5,,,4094440003,,,DCAS,O,NO USE-VACANT LAND,,
5,1700,35,GRANITEVILLE QUARRY STATE PARK,FOREST AVE,PARKS,DEPT OF PARKS & RECREATION,V0,VACANT LAND,50,66,3425,I,,,,,,1,49,DEBORAH ROSE,R3-2,,,5017000035,,,PARKS,O,PARK,,
5,1700,38,GRANITEVILLE QUARRY STATE PARK,FOREST AVE,PARKS,DEPT OF PARKS & RECREATION,V0,VACANT LAND,45,92,4600,I,,,,,,1,49,DEBORAH ROSE,R3-2,,,5017000038,,,PARKS,O,PARK,,
5,1700,41,GRANITEVILLE QUARRY STATE PARK,FOREST AVE,PARKS,DEPT OF PARKS & RECREATION,V0,VACANT LAND,25,92,2300,I,,,,,,1,49,DEBORAH ROSE,R3-2,,,5017000041,,,PARKS,O,PARK,,
5,1700,42,GRANITEVILLE QUARRY STATE PARK,FOREST AVE,PARKS,DEPT OF PARKS & RECREATION,V0,VACANT LAND,25,94,2350,I,,,,,,1,49,DEBORAH ROSE,R3-2,,,5017000042,,,PARKS,O,PARK,,
5,1700,43,GRANITEVILLE QUARRY STATE PARK,FOREST AVE,PARKS,DEPT OF PARKS & RECREATION,V0,VACANT LAND,25,94,2350,I,,,,,,1,49,DEBORAH ROSE,R3-2,,,5017000043,,,PARKS,O,PARK,,
5,1700,44,GRANITEVILLE QUARRY STATE PARK,FOREST AVE,PARKS,DEPT OF PARKS & RECREATION,V0,VACANT LAND,100,97,9700,I,,,,,,1,49,DEBORAH ROSE,R3-2,,,5017000044,,,PARKS,O,PARK,,
5,1700,49,GRANITEVILLE QUARRY STATE PARK,FOREST AVE,PARKS,DEPT OF PARKS & RECREATION,V0,VACANT LAND,86,385,165528,I,,,,,,1,49,DEBORAH ROSE,R3-2,,,5017000049,,,PARKS,O,PARK,,
5,7771,9,LONG POND PARK,PAGE AVE,PARKS,DEPT OF PARKS & RECREATION,V0,VACANT LAND,40,63,2658,I,,,,,,3,51,VINCENT IGNIZIO,PARK,,,5077710009,,,PARKS,O,PARK,,
5,1704,8,,SANDERS ST,DCAS,DEPT OF CITYWIDE ADMINISTRATIVE SERVICES,V0,VACANT LAND,9,100,900,I,,,,,,1,49,DEBORAH ROSE,R3-2,,,5017040008,,,DCAS,O,NO USE-VACANT LAND,,
4,9445,29,,130 STREET,DCAS,DEPT OF CITYWIDE ADMINISTRATIVE SERVICES,V0,VACANT LAND,6,100,1075,,,,,,,9,28,RUBEN WILLS,R5,,,4094450029,,,DCAS,O,NO USE-VACANT LAND,,
5,7771,76,LONG POND PARK,PAGE AVE,PARKS,DEPT OF PARKS & RECREATION,V0,VACANT LAND,40,100,4000,,,,,,,3,51,VINCENT IGNIZIO,PARK,,,5077710076,,,PARKS,O,PARK,,
4,9539,200,100TH STREET,100 STREET,DOT,DEPT OF TRANSPORTATION,V1,VACANT LAND,423,3,1269,,,,,,,10,32,ERIC A ULRICH,R4,,,4095390200,,,DOT,O,ROAD/HIGHWAY,,
3,3461,52,THOMAS BOYLAND PARK,FURMAN AVE,PARKS,DEPT OF PARKS & RECREATION,V1,VACANT LAND,20,100,2000,,,,,,,4,37,ERIK MARTIN DILAN,PARK,,,3034610052,,Y,PARKS,O,PARK,,
5,1725,121,,SOUTH AVENUE,PARKS,DEPT OF PARKS & RECREATION,V1,VACANT LAND,456,2040,930278,I,,,,,,2,50,JAMES S. ODDO,M1-1,,,5017250121,,,PARKS,O,NATURAL AREA/ETC,,
5,1732,35,WEST SHORE EXPRESSWAY,GULF AVENUE,DOT,DEPT OF TRANSPORTATION,V1,VACANT LAND,86,64,5000,I,,,,,,2,50,JAMES S. ODDO,M2-1,,,5017320035,Y,,DOT,O,NO USE-VACANT LAND,,
5,1732,45,WEST SHORE EXPRESSWAY,GULF AVENUE,DOT,DEPT OF TRANSPORTATION,V1,VACANT LAND,90,123,4316,I,,,,,,2,50,JAMES S. ODDO,M2-1,,,5017320045,,,DOT,O,NO USE-VACANT LAND,,
5,1760,90,OLD PLACE CREEK,LAMBERTS LANE,PARKS,DEPT OF PARKS & RECREATION,V1,VACANT LAND,1212,218,226512,I,,,,,,2,50,JAMES S. ODDO,PARK,,,5017600090,,,PARKS,O,NATURAL AREA/ETC,,
3,340,14,RED HOOK CONTAINER TERMINAL,12 UNION STREET,DSBS,DEPT OF SMALL BUSINESS SERVICES,V0,VACANT LAND,25,51,1166,I,,,,,,6,38,SARA M. GONZALEZ,M2-1,,,3003400014,,,EDC,O,IN USE-TENANTED,,LONG-TERM AGREEMENT
3,340,14,RED HOOK CONTAINER TERMINAL,12 UNION STREET,DSBS,DEPT OF SMALL BUSINESS SERVICES,V0,VACANT LAND,25,51,1166,I,,,,,,6,38,SARA M. GONZALEZ,M2-1,,,3003400014,,,DSBS,O,NO USE,FINAL COMMITMNT-DISP,
5,1780,260,STATEN ISLAND INDUSTRIAL PARK,0 BLOOMFIELD AVENUE,PARKS,DEPT OF PARKS & RECREATION,V1,VACANT LAND,469,433,203000,,,,,,,2,50,JAMES S. ODDO,M3-1,,,5017800260,,,PARKS,O,PARK,,
3,340,15,RED HOOK CONTAINER TERMINAL,14 UNION STREET,DSBS,DEPT OF SMALL BUSINESS SERVICES,V1,VACANT LAND,25,62,1422,I,,,,,,6,38,SARA M. GONZALEZ,M2-1,,,3003400015,,,EDC,O,IN USE-TENANTED,,LONG-TERM AGREEMENT
3,7060,9,,1910 MERMAID AVENUE,HPD,DEPT OF HOUSING PRESERVATION & DEVELOPMENT,V1,VACANT LAND,20,100,2000,,,,,,,13,47,"DOMENIC M. RECCHIA, JR",R7A,C2-4,CI,3070600009,,Y,HPD,O,NO USE-VACANT LAND,FINAL COMMITMNT-DISP,
3,340,15,RED HOOK CONTAINER TERMINAL,14 UNION STREET,DSBS,DEPT OF SMALL BUSINESS SERVICES,V1,VACANT LAND,25,62,1422,I,,,,,,6,38,SARA M. GONZALEZ,M2-1,,,3003400015,,,DSBS,O,NO USE,FINAL COMMITMNT-DISP,
5,1815,75,STATEN ISLAND INDUSTRIAL PARK,0 BLOOMFIELD ROAD,PARKS,DEPT OF PARKS & RECREATION,V1,VACANT LAND,227,257,54000,I,,,,,,2,50,JAMES S. ODDO,M3-1,,,5018150075,Y,Y,PARKS,O,PARK,,
3,340,16,RED HOOK CONTAINER TERMINAL,16 UNION STREET,DSBS,DEPT OF SMALL BUSINESS SERVICES,V1,VACANT LAND,25,70,1624,I,,,,,,6,38,SARA M. GONZALEZ,M2-1,,,3003400016,,,DSBS,O,NO USE,FINAL COMMITMNT-DISP,
5,1815,125,STATEN ISLAND INDUSTRIAL PARK,BLOOMFIELD ROAD,DSBS,DEPT OF SMALL BUSINESS SERVICES,V1,VACANT LAND,80,273,21840,,,,,,,2,50,JAMES S. ODDO,M3-1,,,5018150125,,,EDC,O,NO USE,FINAL COMMITMNT-DISP,
5,1815,125,STATEN ISLAND INDUSTRIAL PARK,BLOOMFIELD ROAD,DSBS,DEPT OF SMALL BUSINESS SERVICES,V1,VACANT LAND,80,273,21840,,,,,,,2,50,JAMES S. ODDO,M3-1,,,5018150125,,,DSBS,O,NO USE-VACANT LAND,,
5,1815,135,STATEN ISLAND INDUSTRIAL PARK,0 BLOOMFIELD ROAD,EDC,ECONOMIC DEVELOPMENT CORPORATION,V1,VACANT LAND,271,273,65340,I,,,,,,2,50,JAMES S. ODDO,M3-1,,,5018150135,,Y,EDC,O,NO USE-VACANT LAND,FINAL COMMITMNT-DISP,
5,1815,150,STATEN ISLAND INDUSTRIAL PARK,0 BLOOMFIELD ROAD,EDC,ECONOMIC DEVELOPMENT CORPORATION,V1,VACANT LAND,106,146,19551,I,,,,,,2,50,JAMES S. ODDO,M3-1,,,5018150150,,Y,EDC,O,NO USE-VACANT LAND,FINAL COMMITMNT-DISP,
3,340,16,RED HOOK CONTAINER TERMINAL,16 UNION STREET,DSBS,DEPT OF SMALL BUSINESS SERVICES,V1,VACANT LAND,25,70,1624,I,,,,,,6,38,SARA M. GONZALEZ,M2-1,,,3003400016,,,EDC,O,IN USE-TENANTED,,LONG-TERM AGREEMENT
4,9710,125,,,DCAS,DEPT OF CITYWIDE ADMINISTRATIVE SERVICES,V0,VACANT LAND,18,1,18,,,,,,,8,24,JAMES F. GENNARO,R6A,,,4097100125,,,DCAS,O,NO USE-VACANT LAND,,
5,1815,235,STATEN ISLAND INDUSTRIAL PARK,0 BLOOMFIELD AVENUE,PARKS,DEPT OF PARKS & RECREATION,V1,VACANT LAND,320,479,174240,I,,,,,,2,50,JAMES S. ODDO,M3-1,,,5018150235,Y,Y,PARKS,O,PARK,,
4,9711,226,,85 DRIVE,DCAS,DEPT OF CITYWIDE ADMINISTRATIVE SERVICES,V0,VACANT LAND,80,2,160,,,,,,,8,24,JAMES F. GENNARO,R6A,,,4097110226,,,DCAS,O,NO USE-VACANT LAND,,
3,3466,1,THOMAS BOYLAND PARK,BROADWAY,PARKS,DEPT OF PARKS & RECREATION,V1,VACANT LAND,30,58,1740,,,,,,,4,37,ERIK MARTIN DILAN,PARK,,,3034660001,,Y,PARKS,O,PARK,,
5,1815,325,STATEN ISLAND INDUSTRIAL PARK,0 BLOOMFIELD AVENUE,PARKS,DEPT OF PARKS & RECREATION,V1,VACANT LAND,149,267,39783,,,,,,,2,50,JAMES S. ODDO,M3-1,,,5018150325,Y,Y,PARKS,O,PARK,,
3,3466,3,THOMAS BOYLAND PARK,BROADWAY,PARKS,DEPT OF PARKS & RECREATION,V1,VACANT LAND,30,75,2325,,,,,,,4,37,ERIK MARTIN DILAN,PARK,,,3034660003,,Y,PARKS,O,PARK,,
5,1825,125,SAW MILL CREEK MARSH,BLOOMFIELD AVENUE,PARKS,DEPT OF PARKS & RECREATION,V1,VACANT LAND,356,518,159429,I,,,,,,2,50,JAMES S. ODDO,PARK,,,5018250125,Y,,PARKS,O,PARK,,
5,1825,150,SAW MILL CREEK MARSH,RIVER ROAD,PARKS,DEPT OF PARKS & RECREATION,V1,VACANT LAND,800,200,316681,I,,,,,,2,50,JAMES S. ODDO,PARK,,,5018250150,Y,,PARKS,O,PARK,,
5,1855,8,STAEN ISLAND RAILWAY,GULF AVENUE,DSBS,DEPT OF SMALL BUSINESS SERVICES,V1,VACANT LAND,122,407,35750,I,,,,,,2,50,JAMES S. ODDO,M2-1,,,5018550008,,,DSBS,O,NO USE-VACANT LAND,,
5,1855,8,STAEN ISLAND RAILWAY,GULF AVENUE,DSBS,DEPT OF SMALL BUSINESS SERVICES,V1,VACANT LAND,122,407,35750,I,,,,,,2,50,JAMES S. ODDO,M2-1,,,5018550008,,,EDC,O,NO USE,FINAL COMMITMNT-DISP,
5,1865,38,OLD PLACE CREEK,GULF AVENUE,PARKS,DEPT OF PARKS & RECREATION,V1,VACANT LAND,388,321,38581,I,,,,,,2,50,JAMES S. ODDO,PARK,,,5018650038,,,PARKS,O,NATURAL AREA/ETC,,
5,7771,8,LONG POND PARK,PAGE AVE,PARKS,DEPT OF PARKS & RECREATION,V0,VACANT LAND,20,68,1390,I,,,,,,3,51,VINCENT IGNIZIO,PARK,,,5077710008,,,PARKS,O,PARK,,
5,7771,7,LONG POND PARK,PAGE AVE,PARKS,DEPT OF PARKS & RECREATION,V0,VACANT LAND,20,70,1445,I,,,,,,3,51,VINCENT IGNIZIO,PARK,,,5077710007,,,PARKS,O,PARK,,
5,1885,75,OLD PLACE CREEK,WASHINGTON AV,DSBS,DEPT OF SMALL BUSINESS SERVICES,V1,VACANT LAND,414,1800,949608,I,,,,,,2,49,DEBORAH ROSE,M3-1,,,5018850075,Y,,DSBS,O,NO USE-VACANT LAND,,
